Latitude,Longitude,Species,SeasonStartMonth,SeasonEndMonth
34.27869420,-118.42519992,cherry plum (Prunus cerasifera),5,7
33.96369202,-118.26581373,edible loquat (Eriobotrya japonica),3,5
34.27928237,-118.42896550,olive (Olea europaea),9,11
34.13517008,-118.48570982,citrus (Citrus spp.),11,4
34.14718658,-118.52662710,lemon (Citrus limon),11,4
33.96370524,-118.26329440,edible loquat (Eriobotrya japonica),3,5
33.96370438,-118.26327277,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.96369202,-118.26583084,guava (Psidium guajava),8,11
33.96367612,-118.26748049,avocado (Persea americana),10,5
34.13519566,-118.48569540,guava (Psidium guajava),8,11
34.26528346,-118.42680480,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.22263866,-118.44325258,citrus (Citrus spp.),11,4
34.22264102,-118.44311425,citrus (Citrus spp.),11,4
34.26466783,-118.42763037,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.26466194,-118.42763679,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.22264161,-118.44308644,citrus (Citrus spp.),11,4
34.22264043,-118.44307361,citrus (Citrus spp.),11,4
34.27933907,-118.42437768,bay laurel (Umbellularia californica),1,12
34.21111405,-118.42126892,edible fig (Ficus carica),6,9
34.14723271,-118.52641628,Bearss lime (Citrus latifolia),7,10
34.27958004,-118.42404683,bay laurel (Umbellularia californica),1,12
34.27931550,-118.42422794,bay laurel (Umbellularia californica),1,12
34.27975136,-118.42403344,bay laurel (Umbellularia californica),1,12
34.27981735,-118.42410081,bay laurel (Umbellularia californica),1,12
34.27939992,-118.42410998,bay laurel (Umbellularia californica),1,12
34.14720022,-118.52658281,orange (Citrus sinensis),12,4
34.14724294,-118.52637096,Mandarin orange (Citrus reticulata),11,3
34.28229503,-118.42513962,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.97393122,-118.26398082,guava (Psidium guajava),8,11
33.97295364,-118.27032850,cherimoya (Annona cherimola),11,3
34.27361497,-118.48900499,olive (Olea europaea),9,11
34.27359336,-118.48893672,olive (Olea europaea),9,11
34.03374236,-118.37310165,edible loquat (Eriobotrya japonica),3,5
34.27363323,-118.48904452,olive (Olea europaea),9,11
33.97381263,-118.26436467,avocado (Persea americana),10,5
34.16923121,-118.45519423,citrus (Citrus spp.),11,4
34.22000454,-118.43386364,citrus (Citrus spp.),11,4
34.04517175,-118.19512210,peach (Prunus persica),5,8
34.05011763,-118.20492979,avocado (Persea americana),10,5
34.05008927,-118.20487132,avocado (Persea americana),10,5
33.94615431,-118.24294612,guava (Psidium guajava),8,11
33.95295476,-118.24297257,Mexican lime (Citrus x aurantiifolia),7,10
33.95144982,-118.24295527,edible loquat (Eriobotrya japonica),3,5
34.21798258,-118.43224742,edible loquat (Eriobotrya japonica),3,5
34.21892858,-118.53338124,edible loquat (Eriobotrya japonica),3,5
33.97303040,-118.26477595,citrus (Citrus spp.),11,4
34.23405938,-118.48942892,citrus (Citrus spp.),11,4
34.23416326,-118.48953656,cherry plum (Prunus cerasifera),5,7
34.21788830,-118.53251447,Java plum (Syzygium cumini),6,8
34.04880430,-118.20225732,cherimoya (Annona cherimola),11,3
34.27372468,-118.48876604,olive (Olea europaea),9,11
34.27378674,-118.48875795,olive (Olea europaea),9,11
34.05963050,-118.26145244,white mulberry (Morus alba),4,6
34.23408243,-118.48954288,cherry plum (Prunus cerasifera),5,7
33.97302409,-118.26309382,edible loquat (Eriobotrya japonica),3,5
33.97302830,-118.26314706,guava (Psidium guajava),8,11
33.93948013,-118.23074144,guava (Psidium guajava),8,11
34.20934825,-118.40600406,edible loquat (Eriobotrya japonica),3,5
34.18115796,-118.43273901,rose apple (Syzygium jambos),6,8
34.21430891,-118.43193719,citrus (Citrus spp.),11,4
34.21672228,-118.41263974,white mulberry (Morus alba),4,6
34.20933286,-118.40461687,orange (Citrus sinensis),12,4
34.27169279,-118.41092878,peach (Prunus persica),5,8
34.20931626,-118.45937713,edible loquat (Eriobotrya japonica),3,5
34.20942869,-118.45925972,edible loquat (Eriobotrya japonica),3,5
34.27162798,-118.41085605,peach (Prunus persica),5,8
34.27469278,-118.41567163,white mulberry (Morus alba),4,6
34.20944723,-118.40133196,edible loquat (Eriobotrya japonica),3,5
34.20967806,-118.40116069,edible loquat (Eriobotrya japonica),3,5
34.20961836,-118.40114490,edible loquat (Eriobotrya japonica),3,5
34.22207477,-118.57967699,white mulberry (Morus alba),4,6
33.97033847,-118.25779993,edible loquat (Eriobotrya japonica),3,5
34.20856544,-118.41212928,cherry plum (Prunus cerasifera),5,7
34.21358419,-118.41306285,pecan (Carya illinoinensis),9,11
34.21206646,-118.41308146,peach (Prunus persica),5,8
33.97022841,-118.25776103,guava (Psidium guajava),8,11
33.93682440,-118.23122812,avocado (Persea americana),10,5
34.21792807,-118.43223094,edible loquat (Eriobotrya japonica),3,5
34.21653815,-118.43191657,white mulberry (Morus alba),4,6
34.20850863,-118.41210303,cherry plum (Prunus cerasifera),5,7
33.97228787,-118.26289133,peach (Prunus persica),5,8
34.21646687,-118.43191657,white mulberry (Morus alba),4,6
33.97021875,-118.25869233,guava (Psidium guajava),8,11
34.15116806,-118.43251154,kumquat (Citrus japonica),12,3
34.16945378,-118.42541177,citrus (Citrus spp.),11,4
34.20872858,-118.41212870,citrus (Citrus spp.),11,4
33.97006343,-118.26071015,edible loquat (Eriobotrya japonica),3,5
34.21635052,-118.43192544,cherry plum (Prunus cerasifera),5,7
33.97220614,-118.26845992,cherimoya (Annona cherimola),11,3
34.05936141,-118.26113979,avocado (Persea americana),10,5
34.06008074,-118.26355813,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.06061288,-118.26316976,olive (Olea europaea),9,11
34.26907720,-118.40093955,olive (Olea europaea),9,11
34.20736788,-118.59437558,bay laurel (Umbellularia californica),1,12
34.24919525,-118.40802894,guava (Psidium guajava),8,11
34.06077810,-118.26303489,cherry plum (Prunus cerasifera),5,7
33.95643542,-118.26395422,avocado (Persea americana),10,5
33.95643330,-118.26390117,avocado (Persea americana),10,5
33.95028798,-118.26129727,guava (Psidium guajava),8,11
33.95028916,-118.26125164,guava (Psidium guajava),8,11
33.95028975,-118.26127802,guava (Psidium guajava),8,11
34.05436035,-118.21967833,avocado (Persea americana),10,5
34.05160229,-118.26935333,olive (Olea europaea),9,11
33.95641545,-118.27117163,white sapote (Casimiroa edulis),11,3
34.17405212,-118.36796524,apple (Malus domestica),8,10
34.18911311,-118.57431390,edible loquat (Eriobotrya japonica),3,5
